full_text,label
pret. di sekolah saya dapat  mbg tetap  saja  anak-anaknya pada jajan lagi daan tidak semua suka sama menu mbgnya🥲,Sasaran Penerima
mbg bentuk penggarongan duit negara secara tsm (terstruktur-masif dan sistempik).,Politik
pasal 34 ayat (1) undang-undang dasar negara republik indonesia tahun 1945 mengamanatkan kewajiban negara untuk memelihara fakir miskin dan anak terlantar harusnya untuk mereka dana mbg disalurkan,Sasaran Penerima
"makan bergizi gratis bikin masyarakat merasa  diperhatiin, bukan cuma dijanjiin saja ",Sasaran Penerima
"presiden ngotot, paling kesal  kalau mbg dikritik, jadi akan  maju terus meski tidak efektif",Politik
"harus tetap dimakan karena namanya saja mbg, makan bersyukur gratis ~~",Kualitas Pangan
"polsek teluk nibung monitoring makan bergizi gratis sppg yayasan al muslimun nusantara di kapias pulau buaya. 2.402 siswa terima makan sehat: lele goreng, tumis labu, tahu semur, &amp; buah semangka.",Distribusi
eiw efisiensi tahi  nyusahin huwekk kemana duitnya anjimg makan tuh mbg monyet,Anggaran
kesejahteraan petani naik karena mbg andalkan pangan lokal dorongan prabowo,Ekonomi
"ini lagi presiden main sandiwara.. sudah jelas mbg belum jalan dengan  baik, silahkan di cek di setiap daerah sudah berapa  persen sih program mbg ini berjalan?? jangan pura2 tersentak begitu pak prsiden..",Sasaran Penerima
"ya betul, sudah mana farming pejabat, farming mbg. terus  buta data pulak, halu bjir negara indon ini negara yang  tingkat kemiskinan nya tinggi bgt. bro pakai  segala omong  sejahtera sebelum  dia udahan, bro baru di lantik saja  sudah hancur  ini  negara.",Politik
buat mbg lah anjayy..,Lainnya
mbg : mulyono bosnya gemoy,Sasaran Penerima
"menag nasaruddin umar menyampaikan, program makan bergizi gratis (mbg) dan sekolah rakyat adalah bentuk nyata melanjutkan semangat kemendekaan dan kesejahteraan bangsa.",Politik
sudah defisit anggaran ada saja  cara buang anggarann.. sampai hari ini didaerah saya saja belum ada mbg itu,Distribusi
"perlunya pemimpin blusukan agar hanya terima laporan abs (asal bapak senang). jangan gengsi mencontoh pa jokowi, kdm dan lainnya yang  suka berinteraksi dengan  rakyat kecil. jangankan di pelosok, di bandung saja mbg terlambat dimulai.",Distribusi
"ide pertunjukannya si bagus ya. mulai proklamasi, pancasila its ok. nah begitu muncul makan bergizi gratis dan seterusnya entah  kenapa jadi kesal  saja  lihatnya, kenapa harus itu",Politik
"dari pada mbg perbaikan ruang kelas jauh lebih  dibutuhkan, bisa juga untuk pembagian seragam bagi yang kurang mampu dan belum punya kip",Anggaran
"kok kejadian masalah2 mbg sering &amp; berulang2 pak , kenapa &amp; ada apa??kayaknya harus belajar kepada  program pam-tas di era yang  berjalan lancar dan sukses tanpa masalah serius..",Politik
chaos bareng mbg,Lainnya
mau sampai kapan soal mbg ini kamu genjot terus,Anggaran
"kasihan  masyarakat tidak pernah makan bergizi, sehingga mbg baru bisa membuat anak²mereka cerdas..seorang menteri membully masyarakat nya sendiri.",Politik
"program makan bergizi gratis bukan hanya untuk anak sekolah, tapi juga motor penggerak ekonomi lokal. dengan melibatkan petani, peternak, dan pelaku umkm sekitar, manfaatnya dirasakan secara menyeluruh—anak sehat, rakyat sejahtera, dan ekonomi indonesia makin kuat",Ekonomi
